49152,0.0075041186064481735
98304,0.014617233537137508
147456,0.01652633398771286
196608,0.016809359192848206
245760,0.01682211086153984
294912,0.01069081760942936
344064,0.013433368876576424
393216,0.01611228846013546
442368,0.01673261635005474
491520,0.016866937279701233
540672,0.013118039816617966
589824,0.010364695452153683
638976,0.015412336215376854
688128,0.016554145142436028
737280,0.016818787902593613
786432,0.01684422791004181
835584,0.009267441928386688
884736,0.014487497508525848
933888,0.016365626826882362
983040,0.016786739230155945
