49152,0.5896055102348328
98304,0.2973722219467163
147456,0.0965242013335228
196608,0.1056961864233017
245760,0.05333840101957321
294912,0.054204221814870834
344064,0.05536271259188652
393216,0.061321377754211426
442368,0.050323691219091415
491520,0.07117597758769989
540672,0.05349196121096611
589824,0.04246215522289276
638976,0.05462722107768059
688128,0.08038907498121262
737280,0.04411783814430237
786432,0.03481847792863846
835584,0.030487945303320885
884736,0.03770730644464493
933888,0.037951331585645676
983040,0.039880361407995224
